case,postprocess,leaderboard,toposcore,topoF1_0,topoF1_1,topoF1_2,surface_dice,voi_score,voi_total,voi_split,voi_merge
3144205538,threshold_05,0.6662103081962774,0.3672812408545508,0.6666666666666666,0.058823529411764705,nan,0.9735740754040921,0.6150714558527997,2.0860911930603514,1.0352808183790818,1.0508103746812694
3188147679,threshold_05,0.5540515920162488,0.37161194894839045,0.7241379310344828,0.008403361344537815,nan,0.7284553575237708,0.536024663424034,2.8852859966813886,1.3842812610529667,1.5010047356284217
3194326202,threshold_05,0.6020149460074016,0.1948921624797289,0.37735849056603776,0.006896551724137931,nan,0.9475935075887157,0.6053987703069498,2.1726793922017125,1.0943059474782246,1.0783734447234876
324225693,threshold_05,0.45910546454541645,0.04431794825722059,0.08664259927797834,0.0007107320540156361,nan,0.6850925967905322,0.5886504891187544,2.329336442620707,1.2073612795228286,1.121975163097878
3290306825,threshold_05,0.44475230069088256,0.06071871949701223,0.11904761904761904,0.0006222775357809583,nan,0.7271893717042068,0.491486870700876,3.4488078225024132,1.4029927435952296,2.0458150789071836
3294954456,threshold_05,0.6291889428476041,0.3577195987276731,0.7049180327868853,0.0,nan,0.9569749945960768,0.5340909003447866,2.9078015206427854,1.483937572846708,1.4238639477960775
3320274,threshold_05,0.5155101725496678,0.18759284147980476,0.3696682464454976,0.0,nan,0.8276011739127739,0.48449116924644453,3.546737026912547,1.6932586337319118,1.8534783931806351
3321304167,threshold_05,0.5460523701930455,0.15510487429959835,0.30564784053156147,0.0,nan,0.8676449428200224,0.5595576511890236,2.623753172856363,1.302088629066503,1.32166454378986
3335656968,threshold_05,0.5545741289403886,0.10545475633005444,0.20689655172413793,0.0009389671361502347,nan,0.9420173669009125,0.5520903532172942,2.7043257453091534,1.3542335449129626,1.3500922003961908
3342671660,threshold_05,0.608198512133849,0.3002140412717585,0.5904761904761905,0.0011560693641618498,nan,0.8960217151827791,0.5843619983952824,2.370893400244495,1.3131436559710188,1.0577497442734765
3351412255,threshold_05,0.502908883078512,0.09465625241667311,0.18652849740932642,0.0,nan,0.8537107515788583,0.502037840859742,3.3062724135661146,1.7266239158873846,1.5796484976787302
3355195275,threshold_05,0.5757504584971699,0.22155658117377355,0.43478260869565216,0.001869158878504673,nan,0.8856837212051057,0.5694119477807166,2.5206592748741374,1.084865224843074,1.4357940500310635
3371019516,threshold_05,0.431614755798267,0.1034956794972506,0.20394736842105263,0.0,nan,0.7013504505099207,0.4431239836303418,4.1890158431310835,1.751545333781425,2.4374705093496587
