case,t_low,t_high,z_radius,xy_radius,dust_min_size,leaderboard,toposcore,surface_dice,voi_score
453687900,0.3,0.75,1,0,100,0.44386087252430484,0.06976925211818928,0.7347853203905066,0.47358638500620237
456049089,0.3,0.75,1,0,100,0.6660226395998985,0.43134328358208956,0.9447184250111046,0.5884805879182432
469842901,0.3,0.75,1,0,100,0.4746182278727731,0.08142667750074842,0.7543820652727412,0.531875719363112
544161273,0.3,0.75,1,0,100,0.4672477853150725,0.0206550233137752,0.7935556119636276,0.5237337546676295
62269536,0.3,0.75,1,0,100,0.583638140066389,0.20671496723546942,0.9324056499595657,0.5579476354568579
633046981,0.3,0.75,1,0,100,0.6643552884810875,0.4469811222632482,0.9208438466682459,0.5941874441949342
636928528,0.3,0.75,1,0,100,0.5421188487390306,0.03834342013893933,0.9406079944966677,0.5754372132100433
648443467,0.3,0.75,1,0,100,0.435887376481009,0.0005941342743460021,0.6207180486854431,0.6241651975965719
663106834,0.3,0.75,1,0,100,0.5925243322493021,0.3049751243781095,0.8867747559806138,0.5447446581218699
690562299,0.3,0.75,1,0,100,0.38248171488651433,0.015061785575456416,0.5066996404609472,0.5731951572929883
714558499,0.3,0.75,1,0,100,0.50407954436719,0.2498277841561424,0.731845233677496,0.49424393523778204
79646334,0.3,0.75,1,0,100,0.5207767873071102,0.025020262098031147,0.8311471070319632,0.6353406320471823
810239114,0.3,0.75,1,0,100,0.6733709278079298,0.26955523386412417,0.998642310577808,0.6942272827041711
865516044,0.3,0.75,1,0,100,0.46107045920367273,0.09982872522632738,0.734886905909065,0.4968897844788622
90569866,0.3,0.75,1,0,100,0.6037995652261832,0.4087893864013267,0.8527268656092242,0.5220238466930192
928131323,0.3,0.75,1,0,100,0.6433149898769757,0.2707034933192282,0.9809319292721347,0.6250793332456003
933191725,0.3,0.75,1,0,100,0.5955716528061068,0.43496801705756927,0.8263719361233909,0.5024316287018549
944699214,0.3,0.75,1,0,100,0.5138872827095464,0.20605221687721276,0.7788646528963665,0.5127685403790124
961304774,0.3,0.75,1,0,100,0.522478398228563,0.26046757363624357,0.7450427411769388,0.5244947620736042
975031774,0.3,0.75,1,0,100,0.6317754252369063,0.40389887298202864,0.9178469291811528,0.5410266803682693
1004283650,0.3,0.85,1,0,100,0.7255876132678073,0.6059701492537314,0.9707534295689988,0.582951051835824
102536988,0.3,0.85,1,0,100,0.5410743379588402,0.24722604567544035,0.8459580301337022,0.48806061059832107
1029212680,0.3,0.85,1,0,100,0.6822890913297458,0.4950855478704041,0.9727662797643443,0.5522720830031546
1033784946,0.3,0.85,1,0,100,0.6724611912021331,0.5176805627037228,0.9398997298975216,0.5376917626482393
1059332280,0.3,0.85,1,0,100,0.5649101825460934,0.33044081916001394,0.8192023054248191,0.5115917997125786
1061356924,0.3,0.85,1,0,100,0.5140496424683489,0.11276948590381426,0.8169219615072898,0.5551317433418664
1159818141,0.3,0.85,1,0,100,0.6060603981041782,0.3760592641189656,0.8377229935942268,0.5715416317443119
1176487902,0.3,0.85,1,0,100,0.5579087500772797,0.2472254114045159,0.8492840839953065,0.5328334207359074
1189767014,0.3,0.85,1,0,100,0.46389034204795265,0.06668580176042863,0.757648270148001,0.5105934484800679
1235128733,0.3,0.85,1,0,100,0.6344341337345325,0.4639658848614073,0.8851560658840674,0.5298278434762479
1253813461,0.3,0.85,1,0,100,0.6789605459559973,0.4451427075150563,0.9756334021234095,0.5827029798808204
1261544272,0.3,0.85,1,0,100,0.6345757268933387,0.43980099502487563,0.8938541205138645,0.5422471034457813
1330705651,0.3,0.85,1,0,100,0.4670519218410837,0.06974755289838037,0.7870711719983063,0.48757927363474973
1341999317,0.3,0.85,1,0,100,0.5195342158921064,0.08837848181131763,0.8664894255023342,0.5421410640654117
1351645019,0.3,0.85,1,0,100,0.6612973421344983,0.4262686567164179,0.957962077971487,0.5660857652272929
1391167593,0.3,0.85,1,0,100,0.4616900582609062,0.04746108279377324,0.6593818136443668,0.6190517104207025
1430679851,0.3,0.85,1,0,100,0.5969480725756056,0.3993149009053095,0.8459324362559163,0.5173635703269772
1449602646,0.3,0.85,1,0,100,0.6734060071436797,0.47363184079601994,0.9354788975316243,0.5825681164823008
1460828631,0.3,0.85,1,0,100,0.4827649262093678,0.12544021465705182,0.7230428193596938,0.5487653572467412
1531506078,0.3,0.85,1,0,100,0.682083304867824,0.43496801705756927,0.9278383980064434,0.6481413155665657
1578248244,0.3,0.85,1,0,100,0.6299451689950102,0.42734913716290024,0.9175831967069512,0.5159608828534493
1589119778,0.3,0.85,1,0,100,0.5425436219370748,0.09303482587064676,0.9179015260709735,0.5524789715744004
1596691633,0.3,0.85,1,0,100,0.6744155958934126,0.485348377728582,0.9577442161502224,0.5531445912064576
1613378452,0.3,0.85,1,0,100,0.7109577886474371,0.4134328358208955,0.9829084694582512,0.6940284959736587
1625909146,0.3,0.85,1,0,100,0.6380092499255623,0.3403330251955808,0.9679947539651788,0.5631747956545018
1639956906,0.3,0.85,1,0,100,0.5291771318850357,0.10149253731343284,0.8383880065379882,0.5865530525791713
1643996246,0.3,0.85,1,0,100,0.5170399781106101,0.22333333333333333,0.7427327344618284,0.5430957744256292
1662041291,0.3,0.85,1,0,100,0.8868393041727025,1.0,0.9966668685423024,0.6800168576654191
1666298112,0.3,0.85,1,0,100,0.6903556798293718,0.4910929224843525,0.9613292677991997,0.590178741012418
1671010748,0.3,0.85,1,0,100,0.48057046557019223,0.05167322225347585,0.7552653217100878,0.5735018179874823
1704770049,0.3,0.85,1,0,100,0.6282622957488899,0.3432835820895523,0.9360608123624016,0.5647312479862393
1725830085,0.3,0.85,1,0,100,0.5801037652251477,0.09363169396500037,0.9426879999899347,0.6344955915404872
17283971,0.3,0.85,1,0,100,0.6474665216062905,0.40771056378882975,0.9218777295844592,0.5785604203288026
1757276221,0.3,0.85,1,0,100,0.5488767377269118,0.10797078437599239,0.8411552668441864,0.6345175971961396
176501514,0.3,0.85,1,0,100,0.6452970790531471,0.4331998543866036,0.9407907659692202,0.5316010132798257
1793326608,0.3,0.85,1,0,100,0.6187178674061369,0.3540652003142184,0.9038889685274827,0.5603919095064356
1798146413,0.3,0.85,1,0,100,0.6669772209875026,0.4747685435708734,0.9342891388153053,0.5644155980882394
1823626595,0.3,0.85,1,0,100,0.45148473242407317,0.1156033019013066,0.6097339866110719,0.5811338472565886
1853493924,0.3,0.85,1,0,100,0.6339048482658348,0.4638491751767479,0.8287749678278649,0.5847967342087365
1871106040,0.3,0.85,1,0,100,0.556240462334672,0.34797441364605547,0.7293468073878071,0.561647873300351
1882650170,0.3,0.85,1,0,100,0.5122879469297276,0.21908099755703841,0.685658008286374,0.5902381278925289
1914571029,0.3,0.85,1,0,100,0.669938755036856,0.47363184079601994,0.9656749922035068,0.5424655872194931
193365288,0.3,0.85,1,0,100,0.49842795608699175,0.020164406147106084,0.7850222298071943,0.6217738680295485
1939536631,0.3,0.85,1,0,100,0.6458448465469175,0.4021402421853,0.940385835826715,0.5601935181485065
1960540938,0.3,0.85,1,0,100,0.6802743219297105,0.4065200314218382,0.9712898765882022,0.6239053019922524
1961113613,0.3,0.85,1,0,100,0.6420109138829122,0.3189765458422175,0.9783688792860946,0.582539549657468
1963069058,0.3,0.85,1,0,100,0.6220199611084526,0.39407759876843035,0.874728034666221,0.5646910552707035
1966171058,0.3,0.85,1,0,100,0.8722645281266371,0.9811320754716981,0.9923387754248084,0.6588752402469849
19797301,0.3,0.85,1,0,100,0.6624257169698753,0.40155950092134896,0.9007783138096328,0.6476727338859976
2059872339,0.3,0.85,1,0,100,0.4797522108914425,0.03854146986586057,0.7624879264334344,0.5751971305142352
215093936,0.3,0.85,1,0,100,0.6651114395437009,0.47361985254450634,0.9545538574015037,0.5398046676852077
2157512838,0.3,0.85,1,0,100,0.4266903431012643,0.1566663327657017,0.573685296228756,0.5111445416899693
2210475972,0.3,0.85,1,0,100,0.6542995492023037,0.39035591274397247,0.9700959267606566,0.5647405743225207
2220704498,0.3,0.85,1,0,100,0.4704204103605304,0.06701248457392087,0.8044853947221265,0.48213364810174264
2220787575,0.3,0.85,1,0,100,0.6618298403272698,0.42750459192937135,0.8881196312703538,0.6363902622966704
2292614243,0.3,0.85,1,0,100,0.6743296812519302,0.4807541241162608,0.9543915472794307,0.560189721340718
2306395636,0.3,0.85,1,0,100,0.48356897243928343,0.041862117981520966,0.8043541205496774,0.5413896995784003
237111043,0.3,0.85,1,0,100,0.6517053885406139,0.39385163733570955,0.9571213077221526,0.5673069703918501
2424610202,0.3,0.85,1,0,100,0.7100009042183517,0.4625266124633504,0.9923464121118917,0.6397762178290987
244496252,0.3,0.85,1,0,100,0.4839845556201823,0.11940298507462686,0.7937470326736431,0.48672056760576915
2456859500,0.3,0.85,1,0,100,0.6995117817536682,0.4699231117141565,0.9667023057070345,0.629111546405598
246751123,0.3,0.85,1,0,100,0.669303814453873,0.44043931286961424,0.9612141531319925,0.5735630485622611
2475831799,0.3,0.85,1,0,100,0.4755991806463845,0.10149253731343284,0.740306199010558,0.531554999424741
2495748513,0.3,0.85,1,0,100,0.6610884059508835,0.4426802159415688,0.9651255201305533,0.5442583117791979
2536049117,0.3,0.85,1,0,100,0.8718588187779208,0.8888888888888888,0.9976351515056353,0.7314852830979479
2540481853,0.3,0.85,1,0,100,0.7078868954112318,0.5545954438334643,0.9711407034346098,0.5760257601687975
2615287684,0.3,0.85,1,0,100,0.5533020609479403,0.32335723977515024,0.7889476062291504,0.5147520766719788
263322541,0.3,0.85,1,0,100,0.5884226948012362,0.25021427599479856,0.9126256317951451,0.5541126882128453
2642624633,0.3,0.85,1,0,100,0.4474456027703998,0.04964308890330954,0.6994531766281155,0.5364116122273329
2652698199,0.3,0.85,1,0,100,0.5097767652982297,0.15325826882477128,0.7799157096240652,0.5452251036639298
2713673035,0.3,0.85,1,0,100,0.6876619806527957,0.4712153518123668,0.9637024641304006,0.5971471790384155
2727460783,0.3,0.85,1,0,100,0.6042843408174173,0.4024704065877509,0.8600712082605803,0.5214808455711115
2757775745,0.3,0.85,1,0,100,0.49338148453272035,0.11599147121535182,0.7643406710215754,0.5458994523158955
2768504081,0.3,0.85,1,0,100,0.6478675256928752,0.37131416090280306,0.9446780324096077,0.588102760224776
2773856183,0.3,0.85,1,0,100,0.4340270340814437,0.01770218674071503,0.654525149278653,0.5703787880334306
2786449252,0.3,0.85,1,0,100,0.61916322634772,0.48539909149902666,0.807411579927166,0.5455698454957256
2855094384,0.3,0.85,1,0,100,0.5042868481053022,0.02670856245090338,0.8738309536734696,0.5440955588123337
2875030463,0.3,0.85,1,0,100,0.6802703320628292,0.5074626865671642,0.9405260560000488,0.568135447121894
2880423383,0.3,0.85,1,0,100,0.49459513076367867,0.11509462994306817,0.7978917314911366,0.5165846735967443
2881190689,0.3,0.85,1,0,100,0.6695437780457012,0.37213930348258706,0.9828800335795496,0.6111256435659507
2894972157,0.3,0.85,1,0,100,0.6624158505187878,0.38869482375357256,0.9680607412656138,0.591388982713575
2983822886,0.3,0.85,1,0,100,0.6745018204203199,0.4762498188668309,0.9678304601512214,0.5511034677352663
3020373917,0.3,0.85,1,0,100,0.662263232086049,0.40380211911155517,0.9568320590408739,0.5892325019665047
3034991642,0.3,0.85,1,0,100,0.5313785583265261,0.18778354921428103,0.8572195937876464,0.5000475306759019
3040864797,0.3,0.85,1,0,100,0.6389367706591944,0.4639658848614073,0.9096094419533215,0.5182391443345994
3056295573,0.3,0.85,1,0,100,0.6710621693606473,0.45913290689410097,0.9456663989973222,0.5781115932667265
3070061281,0.3,0.85,1,0,100,0.894695820511834,1.0,0.9991691244555889,0.6999617912925086
3074797420,0.3,0.85,1,0,100,0.7086561720882383,0.45842217484008524,0.9893601219892472,0.6424385055427893
3088997407,0.3,0.85,1,0,100,0.46890855211004123,0.09167067886374579,0.666230523140729,0.5949333295761784
3102979250,0.3,0.85,1,0,100,0.5617846236785906,0.25111555623942144,0.8914098721251112,0.49844714732278644
3137156884,0.3,0.85,1,0,100,0.6750794524809579,0.49208502939846227,0.9344435854664376,0.5725676821376173
3144205538,0.3,0.85,1,0,100,0.6843605794148242,0.426865671641791,0.9681733301986968,0.6212577495792658
3188147679,0.3,0.85,1,0,100,0.5690003457879864,0.39887900727646014,0.7458030798026976,0.5380159019260122
3194326202,0.3,0.85,1,0,100,0.7153856258873896,0.5598371777476255,0.9495060708534417,0.6145924221839926
324225693,0.3,0.85,1,0,100,0.4698049781092597,0.06427323935007019,0.6983080763587319,0.5889005130819499
